x,y,actual
[1.         0.2        0.66666667 0.66666667 0.         0.25
 0.         0.46666667 0.27517301 0.72625808 0.66666667 0.66666667],[1.59270397],0
[0.         1.         0.66666667 0.         0.75       0.75
 0.46666667 0.06666667 0.96963127 0.13218798 0.         0.66666667],[0.91149644],[0.16336866]
[0.         0.2        1.         0.66666667 1.         1.
 1.         0.2        0.33346253 0.93380871 0.         0.66666667],[0.91494569],[[0.38122367]]
[1.         1.         0.         0.33333333 1.         1.
 0.46666667 0.46666667 0.94967567 0.17621861 0.66666667 0.        ],[1.52974859],[[0.3850717]]
[0.         0.06666667 0.66666667 0.66666667 0.5        0.25
 1.         1.         0.28947436 0.10407097 0.         0.        ],[0.93732522],[[0.51081135]]
[0.         0.         0.         0.         0.         0.
 1.         0.         0.82891177 0.96619734 0.         1.        ],[0.89715172],[[0.37249227]]
[0.         1.         0.         0.33333333 1.         1.
 0.         0.2        0.19614718 0.8158799  0.33333333 1.        ],[0.89572415],[[0.6307936]]
[0.         0.         1.         0.         1.         0.75
 1.         0.         0.4354461  0.99517017 1.         1.        ],[0.92722033],[[0.55470751]]
[0.         0.2        1.         0.         1.         0.
 0.06666667 0.         0.17808621 0.76839085 1.         0.        ],[1.01264786],[[0.60056821]]
[0.         1.         1.         1.         0.5        0.
 1.         0.06666667 0.98241204 0.25555471 0.33333333 0.        ],[0.89815275],[[0.5721476]]
[0.         0.         1.         1.         0.         1.
 0.2        0.2        0.01566744 0.18613759 1.         0.        ],[0.89849874],[[0.62324218]]
[0.         0.         1.         0.         1.         1.
 0.06666667 1.         0.34103067 0.61696108 0.33333333 1.        ],[0.91526042],[[0.67646732]]
[1.         1.         0.66666667 1.         0.         1.
 1.         1.         0.83601045 0.69498764 0.         0.66666667],[1.51400739],[[0.59330484]]
[0.         1.         0.         0.         0.75       0.
 1.         0.         0.66144132 0.99848689 0.         1.        ],[0.91689376],[[0.69496334]]
[0.         0.         1.         0.         0.         0.75
 1.         1.         0.98502467 0.79789643 1.         1.        ],[0.89481616],[[0.66528529]]
[0.         0.         0.         0.33333333 1.         0.
 0.06666667 1.         0.20638866 0.94705981 0.         0.        ],[0.90712681],[[0.60912642]]
[0.         0.06666667 1.         1.         0.         1.
 1.         0.06666667 0.16489876 0.9721816  0.         1.        ],[0.92219079],[[0.71793029]]
[0.         1.         0.         0.66666667 1.         1.
 0.06666667 0.2        0.01799055 0.82957254 1.         1.        ],[0.94696669],[[0.73331554]]
[0.         0.         0.         1.         0.5        0.
 0.         1.         0.96417918 0.13591713 1.         0.66666667],[0.92061645],[[0.64535223]]
[0.         1.         1.         0.66666667 0.25       0.25
 0.06666667 0.         0.1171325  0.00990388 0.         1.        ],[1.00357213],[[0.68497568]]
[1.         0.06666667 1.         0.         1.         1.
 0.         1.         0.6805999  0.40540935 0.         1.        ],[1.50473826],[[0.71425988]]
[0.         1.         1.         0.         1.         1.
 0.46666667 0.06666667 0.39113998 0.70929412 0.         0.        ],[0.92244183],[[0.72380566]]
[0.         0.         0.         0.         1.         0.
 1.         0.         0.1867446  0.56810207 1.         1.        ],[0.9126997],[[0.76301082]]
[0.         0.         0.         1.         0.         0.
 0.2        0.06666667 0.9873517  0.8951001  1.         0.33333333],[0.89822598],[[0.81011965]]
[1.         0.06666667 0.         0.         0.         0.
 1.         0.         0.28522143 0.03640605 0.         0.33333333],[1.79034419],[[0.65289815]]
[1.         0.06666667 0.         0.         1.         0.
 1.         1.         0.02599221 0.93672444 1.         1.        ],[1.57611617],[[0.67702188]]
[0.         0.         0.         0.         0.         1.
 0.         1.         0.28265545 0.55635002 0.         0.33333333],[0.88445393],[[0.77997772]]
[0.         1.         1.         0.         0.25       0.
 0.         1.         0.04230067 0.02279621 0.         1.        ],[0.94665359],[[0.66431767]]
[0.         1.         0.33333333 0.         0.25       1.
 0.         0.2        0.95751591 0.24873226 0.33333333 1.        ],[0.90695946],[[0.80657911]]
[0.         1.         0.66666667 0.         1.         1.
 1.         0.         0.87600625 0.10840566 0.66666667 0.        ],[0.91811824],[[0.81226683]]
[0.         0.2        0.33333333 0.66666667 1.         1.
 1.         0.2        0.89997609 0.06547376 1.         1.        ],[0.92904768],[[0.84138028]]
[0.         1.         1.         0.         1.         1.
 0.06666667 0.46666667 0.82486304 0.16066475 0.         0.33333333],[0.89792918],[[0.83600703]]
[0.         1.         0.66666667 0.         1.         0.75
 1.         0.         0.12350305 0.04698289 1.         1.        ],[0.90465472],[[0.78966839]]
[0.         1.         1.         1.         0.75       0.25
 0.06666667 1.         0.61643799 0.94891046 0.         0.66666667],[0.92361038],[[0.88502519]]
[0.         1.         0.33333333 1.         0.         0.
 0.06666667 1.         0.38207505 0.88337728 1.         0.        ],[0.9167066],[[0.76208569]]
[0.         0.06666667 1.         1.         0.5        1.
 1.         1.         0.80920413 0.05257872 1.         0.66666667],[0.92358381],[[0.83507452]]
[0.         1.         1.         1.         1.         1.
 0.06666667 0.         0.43539536 0.01127376 0.         0.        ],[0.88540443],[[0.70149075]]
[0.         1.         0.         0.         0.75       1.
 0.         0.         0.36141666 0.74060958 0.         0.66666667],[0.92678373],[[0.82090537]]
[0.         0.         1.         1.         0.25       0.
 0.46666667 1.         0.71424849 0.1041802  0.         0.        ],[0.9205523],[[0.77411362]]
[0.         0.         1.         1.         1.         0.
 0.         1.         0.95715292 0.03604323 0.66666667 0.66666667],[0.9192394],[[0.80286002]]
[1.         0.06666667 0.66666667 1.         1.         0.
 0.2        0.46666667 0.8012717  0.98241082 1.         0.        ],[1.59204893],[[0.95499703]]
[0.         0.         0.         0.         1.         0.5
 1.         1.         0.35966329 0.06801091 0.         0.        ],[0.91779073],[[0.76156259]]
[0.         0.         0.         1.         0.75       0.
 1.         0.06666667 0.14669893 0.16958484 1.         0.66666667],[0.91156506],[[0.87482854]]
[0.         1.         0.33333333 0.33333333 1.         0.
 1.         0.         0.79096534 0.7088344  0.         1.        ],[0.90552034],[[0.89374384]]
[0.         0.         0.         1.         0.         1.
 0.2        0.06666667 0.97206472 0.00910417 0.66666667 1.        ],[0.89822598],[[0.72830375]]
[0.         0.         0.         1.         0.         1.
 0.06666667 0.         0.05510061 0.1310221  0.         0.        ],[0.89822598],[[0.76910724]]
[0.         0.06666667 0.66666667 1.         1.         1.
 1.         1.         0.52135049 0.03640206 1.         1.        ],[0.90640335],[[0.80965756]]
[0.         1.         0.66666667 1.         1.         1.
 0.06666667 0.46666667 0.68369755 0.89306989 0.         1.        ],[0.92616134],[[0.82946197]]
[0.         1.         1.         0.         1.         1.
 1.         1.         0.31476902 0.22405983 0.33333333 1.        ],[0.94302774],[[0.82961036]]
[0.         1.         0.         1.         0.         0.
 0.         0.2        0.96883567 0.00777974 0.         1.        ],[0.89822598],[[0.6981438]]
[0.         0.         1.         0.         0.         1.
 1.         1.         0.56359644 0.26803257 1.         0.33333333],[0.91328755],[[0.850736]]
[1.         1.         1.         0.         0.75       1.
 0.         0.         0.83631539 0.88496133 0.         1.        ],[1.5991877],[[0.88494088]]
[0.         1.         0.         1.         0.25       0.
 0.06666667 0.06666667 0.03564639 0.70695808 0.         1.        ],[0.91661266],[[0.87839623]]
[0.         1.         0.         1.         0.         1.
 0.06666667 0.06666667 0.66980685 0.0974585  1.         1.        ],[0.89822598],[[0.84506899]]
[0.         1.         0.66666667 0.         0.         0.
 0.46666667 0.         0.97308535 0.12534312 0.66666667 0.66666667],[0.89598294],[[0.92239935]]
[0.         1.         1.         0.         0.         0.5
 0.         0.06666667 0.74353913 0.34958772 1.         0.        ],[0.92605588],[[0.82341948]]
[0.         1.         0.         1.         0.5        0.5
 0.         1.         0.97414049 0.95790891 1.         1.        ],[0.92061645],[[0.84162164]]
[0.         1.         1.         1.         0.5        0.
 0.         1.         0.66503793 0.11135935 1.         1.        ],[0.90732579],[[0.86355648]]
[0.         1.         1.         0.         0.         0.75
 0.2        0.         0.76416736 0.04722992 1.         0.66666667],[0.90321492],[[0.86586643]]
[0.         0.2        0.         0.         0.         0.75
 0.         1.         0.97763221 0.20209945 0.         1.        ],[0.89455777],[[0.81788994]]
[0.         0.         1.         0.66666667 0.         1.
 1.         1.         0.1604826  0.54487707 0.66666667 0.        ],[0.97378437],[[0.85783742]]
[0.         0.         0.66666667 0.         0.         0.
 0.06666667 0.         0.03670794 0.22842382 1.         0.        ],[0.94021571],[[0.8759116]]
[0.         0.         0.         0.         1.         1.
 0.06666667 0.06666667 0.26265089 0.21100847 1.         0.        ],[0.90778424],[[0.86598192]]
[0.         1.         1.         0.33333333 0.         0.
 0.         0.         0.99162783 0.56464192 1.         0.        ],[0.89994797],[[0.82386613]]
[0.         0.06666667 1.         0.33333333 0.         0.
 1.         0.06666667 0.13853686 0.86374279 1.         1.        ],[1.02388394],[[0.90437418]]
[0.         0.2        0.         1.         1.         0.5
 1.         0.2        0.15310562 0.89436281 0.         0.        ],[0.99392751],[[0.84873076]]
[0.         0.46666667 0.         0.         0.         0.
 0.06666667 1.         0.7129777  0.19056122 1.         0.        ],[0.89062349],[[0.8555398]]
[0.         0.         0.         1.         0.         1.
 0.06666667 1.         0.26459888 0.39614214 1.         0.        ],[0.9548428],[[0.83132438]]
[0.         1.         1.         0.         0.75       0.25
 1.         1.         0.86652393 0.10755923 0.         0.33333333],[0.91450956],[[0.78413851]]
[0.         1.         0.         0.         1.         1.
 1.         1.         0.38725518 0.84074819 0.         0.66666667],[0.91652479],[[0.88055804]]
[0.         0.         1.         0.         1.         1.
 0.06666667 0.06666667 0.10200023 0.07979729 1.         0.        ],[0.92224353],[[0.79500062]]
[0.         1.         0.         0.33333333 1.         1.
 0.2        0.2        0.82652443 0.86099151 0.         1.        ],[0.9172091],[[0.85741358]]
[0.         0.         0.33333333 0.         1.         1.
 0.06666667 0.         0.98908939 0.29266899 1.         1.        ],[0.8978073],[[0.76502375]]
[0.         1.         1.         0.         0.5        0.
 0.46666667 0.06666667 0.95809031 0.04117011 1.         1.        ],[0.91735037],[[0.7701518]]
[0.         1.         0.         1.         1.         0.5
 0.         1.         0.26914288 0.30567303 0.         0.        ],[0.9480418],[[0.85091094]]
[0.         0.         0.         1.         1.         0.25
 0.06666667 0.46666667 0.10026533 0.09957717 0.         1.        ],[1.03430688],[[0.83978727]]
[0.         1.         0.         0.         1.         0.
 0.         0.06666667 0.92546642 0.87263466 0.66666667 1.        ],[0.91621887],[[0.8209826]]
[0.         0.         1.         0.         0.         0.25
 0.         0.46666667 0.01485292 0.81826699 0.         0.        ],[0.91818016],[[0.84254002]]
[0.         0.         1.         1.         0.         0.75
 0.         0.         0.96630653 0.75923193 0.         0.33333333],[0.8981528],[[0.93127603]]
[0.         0.         0.         1.         0.         0.
 1.         0.         0.0135716  0.83980393 1.         0.33333333],[0.89822598],[[0.8485675]]
[0.         1.         0.66666667 0.         0.         0.5
 0.46666667 0.         0.89243003 0.03493604 0.33333333 0.        ],[0.89413741],[[0.88460929]]
[0.         0.         1.         0.66666667 1.         0.
 0.2        0.         0.97635822 0.32323999 0.         1.        ],[0.91270187],[[0.85003424]]
[0.         0.2        1.         0.         1.         0.25
 0.06666667 0.         0.81003293 0.07869483 0.         1.        ],[0.90320339],[[0.89511735]]
[0.         1.         0.33333333 0.         0.         0.75
 1.         0.06666667 0.69141476 0.92995649 1.         0.        ],[0.90793036],[[0.89257789]]
[0.         1.         0.         0.         0.         0.5
 0.06666667 1.         0.05124538 0.86244255 0.66666667 0.        ],[0.88974868],[[0.85113961]]
[0.         1.         0.         0.         0.         0.75
 1.         0.         0.53683381 0.27228351 1.         0.        ],[0.89515246],[[0.8631743]]
[0.         0.06666667 1.         1.         0.         0.
 0.         0.         0.74041629 0.92396998 1.         1.        ],[0.8981528],[[0.82825845]]
[0.         1.         1.         0.33333333 0.         0.
 0.         0.         0.89757314 0.21113538 0.         0.        ],[0.91323568],[[0.79751069]]
[0.         0.         1.         1.         0.         0.25
 0.2        0.06666667 0.10789346 0.98976144 0.         1.        ],[1.03048978],[[0.91740854]]
[0.         0.06666667 1.         1.         0.25       1.
 0.46666667 0.         0.96143065 0.04969277 0.33333333 1.        ],[0.8981528],[[0.9201455]]
[0.         0.         0.         0.         0.         0.
 0.46666667 1.         0.15434389 0.01716157 1.         0.        ],[0.88581805],[[0.85569244]]
